,nese,phorus,,,,,num,,ium,Elements

F 48,S31726,0.030,2.00,0.045 0.030,0.75,13.5-17.5,,17.0-20.0,4.0-5.0,,,N 0.10-0.20
F 49,S34565,0.030,5.0-7.0,0.030 0.010,1.00,16.0-18.0,,23.0-25.0,4.0-5.0,0.10,,N 0.40-0.60
F 56,S33228,0.04-0.08,1.00,0.020 0.015,0.30,31.0-33.0,,26.0-28.0,,0.6-1.0,,Ce 0.05-0.10
,,,,,,,,,,,,Al 0.025
F 58,S31266,0.030,2.0-4.0,0.035 0.020,1.00,21.0-24.0,,23.0-25.0,5.2-6.2,,,N 0.35-0.60
,,,,,,,,,,,,Cu 1.00-2.50
,,,,,,,,,,,,W 1.50-2.50
F 62,N08367,0.030,2.00,0.040 0.030,1.00,23.5-25.5,,20.0-22.0,6.0-7.0,,,N 0.18-0.25
,,,,,,,,,,,,Cu 0.75
F 63,S32615,0.o?,2.00,0.045 0.030,4.8-6.0,19.0-22.0,,16.5-19.5,0.30-1.50,,,Cu 1.50-2.50
F 64,S30601,0.015,0.50-0.80,0.030 0.013,5.0-5.6,17.0-18.0,,17.0-18.0,0.20,,,Cu 0.35, N 0.05
F 904L,N08904,0.020,2.0,0.040 0.030,1.00,23.0-28.0,,19.0-23.0,4.0-5.0,,,Cu 1.00-2.00
,,,,,,,,,,,,N 0.10
F700,N08700,0.04,2.00,0.040 0.030,1.00,24.0-26.0,,19.0-23.0,4.3-5.0,axe,,Cu 0.50
,,,,,,,,,,Min,,
,,,,,,,,,,0.40,,
,,,,,,,,,,Max,,
FNIC,N08800,0.10,1.50,0.045 0.015,1.00,30.0-35.0,,19.0-23.0,,,0.15-0.60,Al 0.15-0.60
,,,,,,,,,,,,Cu 0.75
,,,,,,,,,,,,Fe 39.5 min
FNIC10,N08810,0.05-0.10,1.50,0.045 0.015,1.00,30.0-35.0,,19.0-23.0,,,0.15-0.60,Al 0.15-0.60
,,,,,,,,,,,,Cu 0.75
,,,,,,,,,,,,Fe 39.5 min
FNIC11,N08811,0.06-0.10,1.50,0.040 0.Q15,1.00,30.0-35.0,,19.0-23.0,,,0.25-,Cu 0.75
,,,,,,,,,,,0.60°,Al 0.25-0.60°
,,,,,,,,,,,,Fe 39.5 min
F1925,N08925,0.020,1.00,0.045 0.030,0.50,24.0-26.0,,19.0-21.0,6.0-7.0,,,N2 0.1 o-o.20R
,,,,,,,,,,,,Cu 0.80-1.50
F1925N,N08926,0.020,2.00,0.030 0.010,0.50,24.0-26.0,,19.0-21.0,6.0-7.0,,,N2 0.15-0.25R
,,,,,,,,,,,,Cu 0.50-1.50
F35030,S35030,0.05-0.10,1.50,0.030 0.Q15,0.50-2.0,22.5-27.5,,18.5-22.5,,0.25-,,N: 0.05-0.15
,,,,,,,,,,0.75,,Cu: 2.50-3.50
,,,,Ferritic-Austenitic Stainless Steels,,,,,,,,
F 50,S31200,0.030,2.00,0.045 0.030,1.00,5.5-6.5,,24.0-26.0,1.20-2.00,,,N 0.14-0.20
F 51,S31803,0.030,2.00,0.030 0.020,1.00,4.5-6.5,,21.0-23.0,2.5-3.5,,,N 0.08-0.20
F 69,S32101,0.040,4.00-6.00,0.G40 0.030,1.00,1.35-1.70,,21.0-22.0,0.10-0.80,,,N 0.20-0.25
,,,,,,,,,,,,Cu 0.10-0.80
F 52,S32950,0.030,2.00,0.035 0.010,0.60,3.5-5.2,,26.0-29.0,1.00-2.50,,,N 0.15-0.35
F 53,S32750,0.030,1.20,0.035 0.020,0.80,6.0-8.0,,24.0-26.0,3.0-5.0,,,N 0.24-0.32
,,,,,,,,,,,,Cu 0.50
F 54,S39274,0.030,1.00,0.030 0.020,0.80,6.0-8.0,,24.0-26.0,2.5-3.5,,,N 0.24-0.32
,,,,,,,,,,,,Cu 0.20-0.80
,,,,,,,,,,,,W 1.50-2.50
F 55,S32760,0.030,1.00,0.030 0.010,1.00,6.0-8.0,,24.0-26.0,3.0-4.0,,,N 0.20-0.30
,,,,,,,,,,,,Cu 0.50-1.00
,,,,,,,,,,,,W 0.50-1.00°
F 57,S39277,0.025,0.80,0.025 0.002,0.80,6.5-8.0,,24.0-26.0,3.0-4.0,,,Cu 1.20-2.00
,,,,,,,,,,,,W 0.80-1.20
,,,,,,,,,,,,N 0.23-0.33
F 59,S32520,0.030,1.50,0.035 0.020,0.80,5.5-8.0,,24.0-26.0,3.0-5.0,,,N 0.20-0.35
